mesh 1,mesh 1,mesh 1,score,mean,std. dev.
x,y,z,,,
68,4,1,fission,6.277470866575748e-05,1.5503207733079457e-06
69,4,1,fission,3.372966769103917e-05,8.175394411796696e-07
70,4,1,fission,6.148144472010678e-06,2.548165170589804e-07
71,4,1,fission,0.0,0.0
72,4,1,fission,0.0,0.0
73,4,1,fission,0.0,0.0
74,4,1,fission,0.0,0.0
75,4,1,fission,0.0,0.0
76,4,1,fission,0.0,0.0
77,4,1,fission,0.0,0.0
78,4,1,fission,0.0,0.0
79,4,1,fission,0.0,0.0
80,4,1,fission,0.0,0.0
81,4,1,fission,0.0,0.0
82,4,1,fission,0.0,0.0
83,4,1,fission,0.0,0.0
84,4,1,fission,0.0,0.0
85,4,1,fission,0.0,0.0
86,4,1,fission,0.0,0.0
87,4,1,fission,0.0,0.0
88,4,1,fission,0.0,0.0
89,4,1,fission,0.0,0.0
90,4,1,fission,0.0,0.0
91,4,1,fission,0.0,0.0
92,4,1,fission,0.0,0.0
93,4,1,fission,0.0,0.0
94,4,1,fission,0.0,0.0
95,4,1,fission,0.0,0.0
96,4,1,fission,0.0,0.0
97,4,1,fission,0.0,0.0
98,4,1,fission,0.0,0.0
99,4,1,fission,0.0,0.0
100,4,1,fission,0.0,0.0
1,5,1,fission,0.0,0.0
2,5,1,fission,0.0,0.0
3,5,1,fission,0.0,0.0
4,5,1,fission,0.0,0.0
5,5,1,fission,0.0,0.0
6,5,1,fission,0.0,0.0
7,5,1,fission,0.0,0.0
8,5,1,fission,0.0,0.0
9,5,1,fission,0.0,0.0
10,5,1,fission,0.0,0.0
11,5,1,fission,0.0,0.0
12,5,1,fission,0.0,0.0
13,5,1,fission,0.0,0.0
14,5,1,fission,0.0,0.0
15,5,1,fission,0.0,0.0
16,5,1,fission,0.0,0.0
17,5,1,fission,0.0,0.0
18,5,1,fission,0.0,0.0
19,5,1,fission,0.0,0.0
20,5,1,fission,0.0,0.0
21,5,1,fission,0.0,0.0
22,5,1,fission,0.0,0.0
23,5,1,fission,0.0,0.0
24,5,1,fission,0.0,0.0
25,5,1,fission,0.0,0.0
26,5,1,fission,0.0,0.0
27,5,1,fission,0.0,0.0
28,5,1,fission,0.0,0.0
29,5,1,fission,1.2445631671386395e-05,4.903718610467193e-07
30,5,1,fission,4.615919392278456e-05,1.0802411814640119e-06
31,5,1,fission,7.34499694845151e-05,1.7448317793705038e-06
32,5,1,fission,7.786213803440184e-05,1.7125470417529866e-06
33,5,1,fission,7.631110669512028e-05,1.864675376763933e-06
34,5,1,fission,7.508077016459228e-05,1.7199437127480288e-06
35,5,1,fission,7.699071484036886e-05,1.7375971881433058e-06
36,5,1,fission,7.65848498367849e-05,1.6863576190440694e-06
37,5,1,fission,7.512952928249232e-05,1.6427671501632804e-06
38,5,1,fission,7.346756264967352e-05,1.46585147021712e-06
39,5,1,fission,7.223630453203378e-05,1.2193254658445385e-06
40,5,1,fission,7.339345070472984e-05,1.655285743752827e-06
41,5,1,fission,7.333564464580534e-05,1.6587647197154584e-06
42,5,1,fission,7.684778915763073e-05,1.775151022981751e-06
43,5,1,fission,7.429920427907533e-05,1.9974516312809955e-06
44,5,1,fission,7.564507889935924e-05,1.7529910374157606e-06
45,5,1,fission,7.457518975599528e-05,1.7036355641041496e-06
46,5,1,fission,7.518583033652856e-05,1.4464912908030433e-06
47,5,1,fission,7.657569195158939e-05,1.7289348567760083e-06
48,5,1,fission,7.67909522619696e-05,2.0582835565381737e-06
49,5,1,fission,7.51543556075554e-05,1.614885601049217e-06
50,5,1,fission,7.793005932337345e-05,1.7730181193962869e-06
51,5,1,fission,7.691078144554307e-05,1.6817297127585607e-06
52,5,1,fission,7.495272886564837e-05,1.8844369396396939e-06
53,5,1,fission,7.329761994721756e-05,1.672567998005325e-06
54,5,1,fission,7.491070889054792e-05,1.8965970412649766e-06
55,5,1,fission,7.780398671972314e-05,1.760584533050903e-06
56,5,1,fission,7.818116271695981e-05,1.7450880852883286e-06
57,5,1,fission,7.592702907042061e-05,1.8658696385128822e-06
58,5,1,fission,7.596087769843202e-05,1.5810199482917547e-06
59,5,1,fission,7.741416007949414e-05,1.5314304128269109e-06
60,5,1,fission,7.945206230203426e-05,1.7978945644673783e-06
61,5,1,fission,7.350009054105982e-05,1.5343886479278506e-06
62,5,1,fission,7.461842845993945e-05,1.6931030055960939e-06
63,5,1,fission,7.4507902232586e-05,1.8839042727397955e-06
64,5,1,fission,7.549811410691085e-05,1.5843082311021968e-06
65,5,1,fission,7.700328978884384e-05,2.0007396469101668e-06
66,5,1,fission,7.80218079552122e-05,1.9074426811356784e-06
67,5,1,fission,7.936940077706959e-05,1.6895270233802479e-06
68,5,1,fission,7.577454945572446e-05,1.4955547622157579e-06
69,5,1,fission,7.494728847437107e-05,1.7142054739175631e-06
70,5,1,fission,7.5302981381491e-05,1.8308187805721278e-06
